"Source:,""C:\Users\T-Maj\Downloads\Data-Log-System-S4-PCB-design\PCB_design\PCB_design.kicad_sch"",1,1,1,1,1,1"
"Date:,""20-3-2023 10:50:13"""
"Tool:,""Eeschema 7.0.1"""
"Generator:,""C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"""
"Component Count:,""38"""
"Ref,""Qnty"",""Value"",""Cmp name"",""Footprint"",""Description"",""Vendor"",""DNP"""
"A1,""1"",""Arduino_Nano_v2.x"",""Arduino_Nano_v2.x"",""Module:Arduino_Nano"",""Arduino Nano v2.x"","""","""""
"C1, C2, C4, C5, C6, C7, C8, C9, C13, C14, C15,""11"",""100nF"",""C"",""Capacitor_SMD:C_1206_3216Metric"",""Unpolarized capacitor"","""","""""
"C3,""1"",""100uF"",""C_Polarized"",""Capacitor_SMD:CP_Elec_6.3x9.9"",""Polarized capacitor"","""","""""
"C10, C11,""2"",""1.1uF"",""C_Small"",""Capacitor_SMD:C_1206_3216Metric"",""Unpolarized capacitor, small symbol"","""","""""
"C12,""1"",""100nF"",""C"","""",""Unpolarized capacitor"","""","""""
"D1,""1"",""D_Schottky"",""D_Schottky"",""Diode_SMD:D_MELF"",""Schottky diode"","""","""""
"D2,""1"",""1N4001"",""1N4001"",""Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal"",""50V 1A General Purpose Rectifier Diode, DO-41"","""","""""
"D3,""1"",""1.5KExxA"",""1.5KExxA"",""Diode_THT:D_DO-201AE_P15.24mm_Horizontal"",""1500W unidirectional TRANSZORB�� Transient Voltage Suppressor, DO-2"","""","""""
"F1,""1"",""Fuse_Small"",""Fuse_Small"",""Fuse:Fuse_1206_3216Metric"",""Fuse, small symbol"","""","""""
"J5, J11,""2"",""Conn_01x02_Pin"",""Conn_01x02_Pin"","""",""Generic connector, single row, 01x02, script generated"","""","""""
"J6, J12,""2"",""8P8C"",""8P8C"","""",""RJ connector, 8P8C (8 positions 8 connected), RJ31/RJ32/RJ33/RJ34/RJ35/RJ41/RJ45/RJ49/RJ61"","""","""""
"J7,""1"",""4P4C"",""4P4C"","""",""RJ connector, 4P4C (4 positions 4 connected), RJ9/RJ10/RJ22"","""","""""
"R1, R2,""2"",""2.2k"",""R"",""Resistor_SMD:R_1206_3216Metric"",""Resistor"","""","""""
"R3,""1"",""9k"",""R"",""Resistor_SMD:R_1206_3216Metric"",""Resistor"","""","""""
"R4,""1"",""3k"",""R"",""Resistor_SMD:R_1206_3216Metric"",""Resistor"","""","""""
"R5, R6, R7, R8,""4"",""100"",""R"",""Resistor_SMD:R_1206_3216Metric"",""Resistor"","""","""""
"R9,""1"",""120"",""R"",""Resistor_SMD:R_1206_3216Metric"",""Resistor"","""","""""
"U2,""1"",""LM7805_TO220"",""LM7805_TO220"",""Package_TO_SOT_THT:TO-220-3_Vertical"",""Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220"","""","""""
"U3,""1"",""MCP2515-xST"",""MCP2515-xST"",""Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm"",""Stand-Alone CAN Controller with SPI Interface, TSSOP-20"","""","""""
"U4,""1"",""TJA1051TK-3"",""TJA1051TK-3"",""Package_DFN_QFN:DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm"",""High-Speed CAN Transceiver, separate VIO, silent mode, DFN-8"","""","""""
"Y1,""1"",""8MHz"",""Crystal"","""",""Two pin crystal"","""","""""
